CVE-2013-1777,geronimo-3.0.0,geronimo-3.0.1,,
CVE-2007-5797,2.1.0,2.1.1,,
CVE-2007-5085,2.0.1,2.0.2,,
CVE-2007-4548,2.0.0,2.0.1,,
